Petal_width,Petal_length,Sepal_width,Sepal_length,Species_name
0.041667,0.067797,0.625000,0.222222,Setosa
0.041667,0.067797,0.416667,0.166667,Setosa
0.041667,0.050847,0.500000,0.111111,Setosa
0.041667,0.084746,0.458333,0.083333,Setosa
0.041667,0.067797,0.666667,0.194444,Setosa
0.125000,0.118644,0.791667,0.305556,Setosa
0.083333,0.067797,0.583333,0.083333,Setosa
0.041667,0.084746,0.583333,0.194444,Setosa
0.041667,0.067797,0.375000,0.027778,Setosa
0.000000,0.084746,0.458333,0.166667,Setosa
0.041667,0.084746,0.708333,0.305556,Setosa
0.041667,0.101695,0.583333,0.138889,Setosa
0.000000,0.067797,0.416667,0.138889,Setosa
0.000000,0.016949,0.416667,0.000000,Setosa
0.041667,0.033898,0.833333,0.416667,Setosa
0.125000,0.084746,1.000000,0.388889,Setosa
0.125000,0.050847,0.791667,0.305556,Setosa
0.083333,0.067797,0.625000,0.222222,Setosa
0.083333,0.118644,0.750000,0.388889,Setosa
0.083333,0.084746,0.750000,0.222222,Setosa
0.041667,0.118644,0.583333,0.305556,Setosa
0.125000,0.084746,0.708333,0.222222,Setosa
0.041667,0.000000,0.666667,0.083333,Setosa
0.166667,0.118644,0.541667,0.222222,Setosa
0.041667,0.152542,0.583333,0.138889,Setosa
0.041667,0.101695,0.416667,0.194444,Setosa
0.125000,0.101695,0.583333,0.194444,Setosa
0.041667,0.084746,0.625000,0.250000,Setosa
0.041667,0.067797,0.583333,0.250000,Setosa
0.041667,0.101695,0.500000,0.111111,Setosa
0.041667,0.101695,0.458333,0.138889,Setosa
0.125000,0.084746,0.583333,0.305556,Setosa
0.000000,0.084746,0.875000,0.250000,Setosa
0.041667,0.067797,0.916667,0.333333,Setosa
0.041667,0.084746,0.458333,0.166667,Setosa
0.041667,0.033898,0.500000,0.194444,Setosa
0.041667,0.050847,0.625000,0.333333,Setosa
0.000000,0.067797,0.666667,0.166667,Setosa
0.041667,0.050847,0.416667,0.027778,Setosa
0.041667,0.084746,0.583333,0.222222,Setosa
0.083333,0.050847,0.625000,0.194444,Setosa
0.083333,0.050847,0.125000,0.055556,Setosa
0.041667,0.050847,0.500000,0.027778,Setosa
0.208333,0.101695,0.625000,0.194444,Setosa
0.125000,0.152542,0.750000,0.222222,Setosa
1.000000,0.847458,0.541667,0.555556,Verginica
0.750000,0.694915,0.291667,0.416667,Verginica
0.833333,0.830508,0.416667,0.777778,Verginica
0.708333,0.779661,0.375000,0.555556,Verginica
0.875000,0.813559,0.416667,0.611111,Verginica
0.833333,0.949153,0.416667,0.916667,Verginica
0.666667,0.593220,0.208333,0.166667,Verginica
0.708333,0.898305,0.375000,0.833333,Verginica
0.708333,0.813559,0.208333,0.666667,Verginica
1.000000,0.864407,0.666667,0.805556,Verginica
0.791667,0.694915,0.500000,0.611111,Verginica
0.750000,0.728814,0.291667,0.583333,Verginica
0.833333,0.762712,0.416667,0.694444,Verginica
0.791667,0.677966,0.208333,0.388889,Verginica
0.958333,0.694915,0.333333,0.416667,Verginica
0.916667,0.728814,0.500000,0.583333,Verginica
0.708333,0.762712,0.416667,0.611111,Verginica
0.875000,0.966102,0.750000,0.944444,Verginica
0.916667,1.000000,0.250000,0.944444,Verginica
0.583333,0.677966,0.083333,0.472222,Verginica
0.916667,0.796610,0.500000,0.722222,Verginica
0.791667,0.661017,0.333333,0.361111,Verginica
0.791667,0.966102,0.333333,0.944444,Verginica
0.708333,0.661017,0.291667,0.555556,Verginica
0.833333,0.796610,0.541667,0.666667,Verginica
0.708333,0.847458,0.500000,0.805556,Verginica
0.708333,0.644068,0.333333,0.527778,Verginica
0.708333,0.661017,0.416667,0.500000,Verginica
0.833333,0.779661,0.333333,0.583333,Verginica
0.625000,0.813559,0.416667,0.805556,Verginica
0.750000,0.864407,0.333333,0.861111,Verginica
0.791667,0.915254,0.750000,1.000000,Verginica
0.875000,0.779661,0.333333,0.583333,Verginica
0.583333,0.694915,0.333333,0.555556,Verginica
0.541667,0.779661,0.250000,0.500000,Verginica
0.916667,0.864407,0.416667,0.944444,Verginica
0.958333,0.779661,0.583333,0.555556,Verginica
0.708333,0.762712,0.458333,0.583333,Verginica
0.708333,0.644068,0.416667,0.472222,Verginica
0.833333,0.745763,0.458333,0.722222,Verginica
0.958333,0.779661,0.458333,0.666667,Verginica
0.916667,0.694915,0.458333,0.722222,Verginica
0.750000,0.694915,0.291667,0.416667,Verginica
0.916667,0.830508,0.500000,0.694444,Verginica
1.000000,0.796610,0.541667,0.666667,Verginica
0.541667,0.627119,0.500000,0.750000,Versicolor
0.583333,0.593220,0.500000,0.583333,Versicolor
0.583333,0.661017,0.458333,0.722222,Versicolor
0.500000,0.508475,0.125000,0.333333,Versicolor
0.583333,0.610169,0.333333,0.611111,Versicolor
0.500000,0.593220,0.333333,0.388889,Versicolor
0.625000,0.627119,0.541667,0.555556,Versicolor
0.375000,0.389831,0.166667,0.166667,Versicolor
0.500000,0.610169,0.375000,0.638889,Versicolor
0.541667,0.491525,0.291667,0.250000,Versicolor
0.375000,0.423729,0.000000,0.194444,Versicolor
0.583333,0.542373,0.416667,0.444444,Versicolor
0.375000,0.508475,0.083333,0.472222,Versicolor
0.541667,0.627119,0.375000,0.500000,Versicolor
0.500000,0.440678,0.375000,0.361111,Versicolor
0.541667,0.576271,0.458333,0.666667,Versicolor
0.583333,0.593220,0.416667,0.361111,Versicolor
0.375000,0.525424,0.291667,0.416667,Versicolor
0.583333,0.593220,0.083333,0.527778,Versicolor
0.416667,0.491525,0.208333,0.361111,Versicolor
0.708333,0.644068,0.500000,0.444444,Versicolor
0.500000,0.508475,0.333333,0.500000,Versicolor
0.583333,0.661017,0.208333,0.555556,Versicolor
0.458333,0.627119,0.333333,0.500000,Versicolor
0.500000,0.559322,0.375000,0.583333,Versicolor
0.541667,0.576271,0.416667,0.638889,Versicolor
0.541667,0.644068,0.333333,0.694444,Versicolor
0.666667,0.677966,0.416667,0.666667,Versicolor
0.583333,0.593220,0.375000,0.472222,Versicolor
0.375000,0.423729,0.250000,0.388889,Versicolor
0.416667,0.474576,0.166667,0.333333,Versicolor
0.375000,0.457627,0.166667,0.333333,Versicolor
0.458333,0.491525,0.291667,0.416667,Versicolor
0.625000,0.694915,0.291667,0.472222,Versicolor
0.583333,0.593220,0.416667,0.305556,Versicolor
0.625000,0.593220,0.583333,0.472222,Versicolor
0.583333,0.627119,0.458333,0.666667,Versicolor
0.500000,0.576271,0.125000,0.555556,Versicolor
0.500000,0.525424,0.416667,0.361111,Versicolor
0.500000,0.508475,0.208333,0.333333,Versicolor
0.458333,0.576271,0.250000,0.333333,Versicolor
0.541667,0.610169,0.416667,0.500000,Versicolor
0.458333,0.508475,0.250000,0.416667,Versicolor
0.375000,0.389831,0.125000,0.194444,Versicolor
0.500000,0.542373,0.291667,0.361111,Versicolor
0.083333,0.067797,0.416667,0.138889,unknown
0.041667,0.101695,0.750000,0.222222,unknown
0.041667,0.067797,0.500000,0.083333,unknown
0.041667,0.084746,0.708333,0.277778,unknown
0.041667,0.067797,0.541667,0.194444,unknown
0.458333,0.542373,0.416667,0.388889,unknown
0.500000,0.542373,0.375000,0.388889,unknown
0.500000,0.559322,0.375000,0.527778,unknown
0.416667,0.338983,0.208333,0.222222,unknown
0.500000,0.525424,0.333333,0.388889,unknown
0.916667,0.711864,0.416667,0.666667,unknown
0.750000,0.677966,0.208333,0.555556,unknown
0.791667,0.711864,0.416667,0.611111,unknown
0.916667,0.745763,0.583333,0.527778,unknown
0.708333,0.694915,0.416667,0.444444,unknown